MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
FordMustang Altis1.8 J,Ford,Mustang Altis,1.8 J,Sedan,Manual,Petrol,8,1,White,5,9.4,"53,500",1352344,333750,75.3
MitsubishiVitara BrezzaVDi,Mitsubishi,Vitara Brezza,VDi,SUV,Manual,Diesel,2,1,Red,5,5,"12,000",975381,813750,16.6
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,11,2,White,6.4,4.6,"83,000",475198,198000,58.3
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Grey,4.5,7.8,"69,000",837628,215600,74.3
MazdaRX20Laputa 1.2,Mazda,RX20,Laputa 1.2,Hatchback,Manual,Petrol,8,2,White,5,6.6,"51,000",678359,224502,66.9
MitsubishiPajero FocusZDI,Mitsubishi,Pajero Focus,ZDI,Sedan,Automatic,diesel,4,1,Silver,6.4,4.6,"21,567",942668,754038,20
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,10,2,Grey,4.8,9.1,"97,000",1585200,211200,86.7
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,8,1,Silver,6.4,6.4,"55,000",394409,162800,58.7
MazdaTitan1.6 VTVT SX,Mazda,Titan,1.6 VTVT SX,Sedan,Manual,Petrol,6,1,Purple,4.3,8.2,"45,000",1135123,468832,58.7
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,diesel,7,1,White,5.6,4.4,"81,000",651184,310800,52.3
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Manual,Diesel,4,1,White,8.3,8.3,"43,000",879273,492462,44
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,2,Silver,6.7,6.2,"58,000",585070,251598,57
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,3,1,other,5,9.6,"58,200",996627,468832,53
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,8,1,Silver,4.8,4.6,"57,000",653057,309884,52.5
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,4,1,White,3.8,4.2,"6,50,000",685269,497200,27.4
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,7,1,White,3.8,5.6,"95,000",741508,291599,60.7
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,6,1,Silver,5,5.7,"40,328",653057,460350,29.5
MitsubishiChallengerLXi BS-IV,Mitsubishi,Challenger,LXi BS-IV,Hatchback,Manual,Petrol,6,1,White,5.4,9.2,"65,000",342090,175120,48.8
MazdaRX10Laputa 1.2 AT Grind2,Mazda,RX10,Laputa 1.2 AT Grind2,Hatchback,Automatic,Petrol,10,1,Blue,5,4,"63,000",610408,242550,60.3
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,Black,6.8,6,"38,000",585070,309884,47
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,11,1,Grey,4.5,4.4,"73,736",1675849,306222,81.7
NissanMaxima Zx1.5GxiCvt,Nissan,Maxima Zx,1.5GxiCvt,MUV,Automatic,Petrol,10,1,White,6.7,9.9,"67,600",838780,158400,81.1
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,diesel,8,1,other,5.7,4.2,"76,000",1525510,616950,59.6
FordPinto2.0 G1,Ford,Pinto,2.0 G1,MUV,Manual,CNG,10,1,White,6.4,7,"79,393",1077620,426550,60.4
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,Petrol,6,1,Blue,4.8,4,"57,800",641315,333750,48
MitsubishiEclipseAxMinor,Mitsubishi,Eclipse,AxMinor,Hatchback,Manual,Petrol,11,2,Silver,6.8,8.2,"55,000",396577,145200,63.4
MitsubishiCiazZDi,Mitsubishi,Ciaz,ZDi,Sedan,Manual,Diesel,2,1,White,9.3,7.2,"34,000",1127358,863950,23.4
FordPinto2.5 GX 8 STR,Ford,Pinto,2.5 GX 8 STR,MUV,Manual,Diesel,7,1,Silver,3.8,8.9,"93,000",1281576,788800,38.5
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,7,2,Black,4.3,9.9,"48,452",996627,407862,59.1
FordPinto2.5 GX 8 STR,Ford,Pinto,2.5 GX 8 STR,MUV,Manual,diesel,5,1,White,5,6,"98,000",1281576,1038400,19
FordFortuner3.0 4x4 MT,Ford,Fortuner,3.0 4x4 MT,SUV,Manual,Diesel,7,1,White,3.8,7,"83,840",3234954,1282500,60.4
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,diesel,7,1,White,4.5,5.2,"45,000",1585233,838800,47.1
MitsubishiEeco5 STR WITH A/C+HTR,Mitsubishi,Eeco,5 STR WITH A/C+HTR,Van,Manual,Petrol,5,1,Silver,4.8,4,"42,000",438834,265200,39.6
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,9,1,Red,4.3,4.2,"68,500",750204,265200,64.6
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,5,1,White,4.8,4.5,"55,000",3133263,1790750,42.8
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,6,1,Red,4.6,4.2,"88,245",806541,417198,48.3
FordPinto2.5 G 7 STR BS-IV,Ford,Pinto,2.5 G 7 STR BS-IV,MUV,Manual,Diesel,7,1,White,4.4,9.1,"1,14,000",1475247,650928,55.9
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,4,1,Brown,4.3,4.4,"31,000",533447,342958,35.7
MitsubishiEstiloLXi CNG BS-IV,Mitsubishi,Estilo,LXi CNG BS-IV,Hatchback,Manual,CNG,6,1,Red,5.4,3.6,"65,000",469858,220000,53.2
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,11,1,Silver,4.5,9.9,"56,200",1585200,260662,83.6
NissanTerrano3.0 V6 AT,Nissan,Terrano,3.0 V6 AT,Sedan,Automatic,Petrol,11,1,Black,6.8,8.8,"67,000",2185146,379950,82.6
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,10,2,Silver,6.8,6,"54,000",828687,242550,70.7
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,6,1,Blue,4.6,4,"80,000",533447,265200,50.3
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,6,1,Silver,4.3,6.7,"55,000",490492,229008,53.3
MazdaRX20Laputa 1.2 (O),Mazda,RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,5,1,Grey,5,4.3,"32,000",608104,366048,39.8
FordMustangG,Ford,Mustang,G,Sedan,Manual,Petrol,12,1,Silver,6.4,7.4,"93,093",1618572,242550,85
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,diesel,8,1,White,5.7,8,"75,000",1525510,509538,66.6
MitsubishiA-StarVxi,Mitsubishi,A-Star,Vxi,Hatchback,Manual,Petrol,9,1,Brown,5,4.5,"48,412",470900,154000,67.3
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,2,Red,6.8,9.2,"70,000",563323,158400,71.9
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,11,1,Silver,4.5,6.6,"53,000",828687,189200,77.2
NissanMaximaSV Diesel,Nissan,Maxima,SV Diesel,Sedan,Manual,diesel,4,1,Silver,6.8,6.4,"10,000",1322989,889200,32.8
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,3,1,Grey,9.9,7,"15,000",533447,342958,35.7
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,9,1,Grey,6.8,5,"43,267",482567,233518,51.6
NissanMicra1.2 E i-VTEC,Nissan,Micra,1.2 E i-VTEC,Sedan,Manual,Petrol,5,1,Silver,5,4.5,"20,904",655769,379950,42.1
MazdaClass RX20Laputa 1.4 (O),Mazda,Class RX20,Laputa 1.4 (O),Hatchback,Manual,diesel,4,1,Grey,5,4.2,"49,118",908764,665550,26.8
MitsubishiSx4ZxiBs-iv,Mitsubishi,Sx4,ZxiBs-iv,Sedan,Manual,Petrol,8,1,Golden,4.3,8.4,"64,000",836766,311716,62.7
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,9,2,Black,5.7,3.8,"84,996",741508,353105,52.4
NissanTerrano2.4 Inspire MT,Nissan,Terrano,2.4 Inspire MT,Sedan,Manual,Petrol,8,1,White,8.5,5.3,"32,000",2446810,696570,71.5
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,8,1,Red,5,8.6,"1,65,000",394409,145200,63.2
MazdaTitanVGT CRDi,Mazda,Titan,VGT CRDi,Sedan,Manual,diesel,11,2,Red,3.8,6.2,"1,12,806",874471,274288,68.6
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,6,1,White,4.5,7.2,"38,500",585070,333750,43
FordMustangH2 1.8E,Ford,Mustang,H2 1.8E,Sedan,Manual,Petrol,10,1,White,5,7.5,"65,000",1306402,220000,83.2
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol + CNG,6,1,Chocolate Gold,4.8,5.9,"54,590",394409,184800,53.1
MitsubishiPajeroVDi BS-IV,Mitsubishi,Pajero,VDi BS-IV,Hatchback,Manual,Diesel,7,1,Red,4.3,8.2,"50,000",631156,361422,42.7
MazdaRX10Triton 1.1 iRDE2,Mazda,RX10,Triton 1.1 iRDE2,Hatchback,Manual,Petrol,7,1,Silver,6.8,4.8,"39,000",541570,274288,49.4
MazdaB seriesGVS,Mazda,B series,GVS,Hatchback,Manual,Petrol,8,1,Silver,4.3,9.9,"71,000",503680,136400,72.9
MazdaRX20Laputa 1.4 CRDI,Mazda,RX20,Laputa 1.4 CRDI,Hatchback,Manual,Diesel,5,1,White,4.8,6.8,"57,000",840488,407862,51.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,diesel,8,1,White,6.4,4.4,"61,000",870791,379950,56.4
MazdaRX20Triton (O) 1.2,Mazda,RX20,Triton (O) 1.2,Hatchback,Manual,Petrol,5,1,Red,3.8,4.7,"51,600",613863,389238,36.6
MitsubishiChallengerLX,Mitsubishi,Challenger,LX,Hatchback,Manual,Petrol,12,2,Blue,6.4,3.4,"96,052",336331,202400,39.8
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,3,1,Beige,7.4,6.2,"26,000",505259,379950,24.8
MazdaSpeed Xo,Mazda,Speed ,Xo,Hatchback,Manual,Petrol,11,1,Red,7,6.4,"57,000",453719,127600,71.9
MazdaNeo2 WD,Mazda,Neo,2 WD,SUV,Manual,Diesel,7,1,White,4.7,4.8,"81,000",3156322,1182501,62.5
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,12,2,Black,3.3,8.9,"2,25,000",1317441,417198,68.3
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Automatic,Petrol,6,1,Silver,6.4,5.8,"38,000",507718,379949,25.2
MazdaGrand RX10G5,Mazda,Grand RX10,G5,Hatchback,Manual,Petrol,5,1,White,4.3,8.2,"43,871",711676,384592,46
MazdaTitanVGT CRDi,Mazda,Titan,VGT CRDi,Sedan,Manual,diesel,10,1,White,6.4,8.2,"74,000",874471,310800,64.5
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,12,2,Grey,4.5,4.7,"62,111",1464334,242550,83.4
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,6,1,White,4.3,4.2,"53,000",1217935,592800,51.3
MazdaTitan1.6 CRDI SX,Mazda,Titan,1.6 CRDI SX,Sedan,Manual,Diesel,10,2,White,4.5,8.2,"69,000",1375438,242550,82.4
MazdaTitanGl,Mazda,Titan,Gl,Sedan,Manual,Petrol,11,1,White,6.8,7.8,"65,098",1044638,243453,76.7
MazdaTitan1.6 CRDI SX,Mazda,Titan,1.6 CRDI SX,Sedan,Manual,diesel,7,1,White,6.1,9.2,"56,684",1375438,520950,62.1
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,1,White,4.3,9.9,"73,780",944779,333750,64.7
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,10,2,Black,6.8,8.6,"51,940",771954,287950,62.7
FordFortuner3.0 4x4 MT,Ford,Fortuner,3.0 4x4 MT,SUV,Manual,diesel,7,1,Grey,5.4,7,"85,000",3234954,1187500,63.3
MitsubishiCrossVXI BS-IV,Mitsubishi,Cross,VXI BS-IV,Hatchback,Manual,Petrol,8,1,White,4.5,7.4,"26,080",566808,220000,61.2
MazdaTitanVGT CRDi,Mazda,Titan,VGT CRDi,Sedan,Manual,diesel,9,1,White,6.1,8.4,"80,000",874471,310800,64.5
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,11,2,Red,6.8,3.8,"49,865",394409,145200,63.2
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,8,1,Silver,6.8,7,"44,789",457174,202488,55.7
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,1,Red,4.5,7.2,"38,300",563323,198000,64.9
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,Silver,6.8,7,"70,053",837628,274288,67.3
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,12,3,Golden,4.5,9.9,"65,000",771954,136400,82.3
MitsubishiEeco5 STR WITH HTR CNG,Mitsubishi,Eeco,5 STR WITH HTR CNG,Van,Automatic,Petrol + CNG,7,1,Silver,4.3,8.2,"64,179",469060,224502,52.1
FordMustang AltisGL Diesel,Ford,Mustang Altis,GL Diesel,Sedan,Manual,Diesel,2,1,Silver,4.2,8,"38,000",2305545,1410750,38.8
MazdaRX20Laputa 1.2 (O),Mazda,RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,7,1,White,6.4,6.8,"50,000",608104,325017,46.6
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Golden,6.8,6.8,"54,256",563323,198000,64.9
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,7,1,White,5,9.1,"45,000",996627,366974,63.2
MazdaRX10G5 1.2 AT with Sunroof,Mazda,RX10,G5 1.2 AT with Sunroof,Hatchback,Automatic,Petrol,9,1,White,6.8,5.2,"44,964",685269,310800,54.6
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,diesel,10,3,Black,6.4,9.9,"86,794",806541,184800,77.1
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,2,Black,6.1,9.6,"93,760",837628,242550,71
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,7,1,Golden,4.5,4.8,"44,000",750204,306222,59.2
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,9,1,Silver,4.5,6.8,"50,000",806541,278838,65.4
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,8,1,Silver,4.8,8.8,"65,000",536698,206800,61.5
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,5,1,White,3.3,4.9,"72,471",3133263,1995000,36.3
FordPinto2.5 VX 8 STR BS-III,Ford,Pinto,2.5 VX 8 STR BS-III,MUV,Manual,diesel,5,1,Beige,5.3,7,"58,000",1713152,1211250,29.3
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,6,1,Grey,3.5,8.1,"80,556",996627,520950,47.7
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,9,1,White,5.5,7.6,"52,000",1585200,379950,76
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,2,White,6.4,7.2,"85,000",563323,215600,61.7
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,3,1,White,3.3,7.2,"37,000",514112,352182,31.5
MazdaRX10Laputa 1.2 AT Grind2,Mazda,RX10,Laputa 1.2 AT Grind2,Hatchback,Automatic,Petrol,7,1,Silver,6.8,6.8,"21,000",610408,338352,44.6
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,4,1,Grey,9.5,4.9,"49,000",3133263,2280000,27.2
MazdaTitan1.6VtvtSAt,Mazda,Titan,1.6VtvtSAt,Sedan,Automatic,Petrol,1,1,White,6.9,9.9,"31,000",1155587,641200,44.5
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,7,2,White,8.3,9.7,"64,500",2426682,520950,78.5
MazdaAtenzaGLS,Mazda,Atenza,GLS,Sedan,Manual,Petrol,10,2,Silver,6.8,5,"35,886",691111,184800,73.3
MazdaDemioEra,Mazda,Demio,Era,Hatchback,Manual,Petrol,7,1,Red,5.2,5.2,"40,810",359359,150339,58.2
MazdaTitanFluidic 1.6 CRDi SX Opt AT,Mazda,Titan,Fluidic 1.6 CRDi SX Opt AT,Sedan,Automatic,Diesel,4,1,White,4.4,9.4,"66,004",1431253,690000,51.8
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,11,2,Red,6.8,9.2,"59,071",1675849,333750,80.1
MazdaRX10Triton 1.2 Grind2,Mazda,RX10,Triton 1.2 Grind2,Hatchback,Manual,Petrol,6,1,Red,4.8,7.4,"45,168",510209,287950,43.6
MitsubishiSx4ZDI,Mitsubishi,Sx4,ZDI,Sedan,Manual,diesel,8,1,Silver,5.7,7,"74,589",1076182,274288,74.5
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,8,1,Red,6.8,8.4,"48,000",563323,278838,50.5
MitsubishiChallenger K10LXi,Mitsubishi,Challenger K10,LXi,Hatchback,Manual,CNG,8,2,Silver,6.8,4.8,"32,000",417260,175120,58
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,5,1,Grey,7.7,7.3,"1,00,000",537850,266249,50.5
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,Diesel,7,1,White,4.6,7,"1,12,000",1120298,763950,31.8
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,6,1,Silver,3.8,5.9,"65,000",741508,356800,51.9
MazdaRX10Triton (O),Mazda,RX10,Triton (O),Hatchback,Manual,Petrol,10,2,Red,5,9.4,"64,000",534395,127600,76.1
NissanBirdActive,Nissan,Bird,Active,Hatchback,Manual,Petrol,9,1,Silver,4.5,4.2,"49,099",870970,297078,65.9
MazdaTitanFluidic 1.6 CRDi,Mazda,Titan,Fluidic 1.6 CRDi,Sedan,Manual,diesel,7,2,White,3.8,9.9,"76,000",1084817,426550,60.7
MazdaGrand RX10Laputa (O) AT 1.2 Grind VTVT,Mazda,Grand RX10,Laputa (O) AT 1.2 Grind VTVT,Hatchback,Automatic,Petrol,3,1,Maroon,5,4,"22,000",802400,497200,38
FordFortuner4x2 AT,Ford,Fortuner,4x2 AT,SUV,Automatic,Diesel,4,1,White,9.5,6.1,"50,000",2671469,2256250,15.5
MazdaRunner2.0 SX (O) AT,Mazda,Runner,2.0 SX (O) AT,Sedan,Automatic,Petrol,1,1,Black,4.8,7.3,"10,600",2139089,1737550,18.8
FordMustang Altis1.8JS,Ford,Mustang Altis,1.8JS,Sedan,Manual,Petrol,5,1,Silver,4.8,7.2,"57,100",1538468,544800,64.6
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,2,White,5.7,6.7,"78,000",563323,171600,69.5
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,Diesel,6,1,White,4.2,5.3,"1,62,657",3013628,963955,68
MitsubishiCrossLdi BS-IV,Mitsubishi,Cross,Ldi BS-IV,Hatchback,Manual,diesel,7,1,White,6.8,3.8,"61,465",607772,287950,52.6
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,Silver,6.8,7.2,"40,000",585070,283392,51.6
NissanMaximaIVtecCvtVx,Nissan,Maxima,IVtecCvtVx,Hatchback,Automatic,Petrol,2,1,Urban Titanium,8.3,7.6,"20,000",1514307,1028524,32.1
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,6,1,White,6.4,7,"42,652",870791,440608,49.4
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,5,1,Blue,9.5,4.2,"64,038",475198,287950,39.4
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,Beige,4.5,9.9,"72,000",837628,171600,79.5
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,8,1,Silver,4.5,4.8,"21,000",536698,278838,48
MazdaTitan1.4Crdi,Mazda,Titan,1.4Crdi,Sedan,Manual,Diesel,8,2,Black,5.9,9,"82,000",1081271,215600,80.1
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,10,1,Red,5,7.7,"72,000",806541,215600,73.3
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,Petrol,8,1,White,5,7.2,"1,39,000",641315,233518,63.6
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,6,1,White,4.3,5.7,"42,137",514112,260662,49.3
MitsubishiCelerioVxi,Mitsubishi,Celerio,Vxi,Hatchback,Manual,Petrol,1,1,White,5,9.1,"8,000",537022,356800,33.6
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,1,Grey,6.8,8.8,"40,000",944779,473550,49.9
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,2,White,5,6.3,"63,000",1525510,497200,67.4
NissanMaximaSI-vtec,Nissan,Maxima,SI-vtec,Hatchback,Manual,Petrol,5,1,Red,4.8,9.1,"45,005",1004692,473550,52.9
NissanMaximaZx,Nissan,Maxima,Zx,Sedan,Manual,Petrol,12,2,Golden,9.9,9.9,"58,000",921736,132000,85.7
NissanMaximaSvCvtI-vtec,Nissan,Maxima,SvCvtI-vtec,Hatchback,Automatic,Petrol,3,1,White,4.8,7.3,"25,000",1233062,823758,33.2
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,12,1,Red,4.5,8.5,"61,000",507718,158400,68.8
MazdaRX20Laputa 1.2,Mazda,RX20,Laputa 1.2,Hatchback,Manual,Petrol,8,1,White,6.2,4.6,"31,143",678359,347568,48.8
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Automatic,Petrol,8,1,Golden,6.1,5.8,"68,000",741508,306222,58.7
MazdaSpeed GL,Mazda,Speed ,GL,Hatchback,Manual,Petrol,7,1,Grey,4.9,4.2,"28,000",404202,242550,40
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,8,1,Grey,4,7.2,"82,000",738248,278838,62.2
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Automatic,Petrol,8,1,Silver,6.8,4.2,"15,602",741508,356800,51.9
MazdaGrand RX10G5,Mazda,Grand RX10,G5,Hatchback,Manual,Petrol,5,1,Blue,5.7,7.8,"45,698",711676,403200,43.3
NissanMaximaVx(o)I-vtec,Nissan,Maxima,Vx(o)I-vtec,Hatchback,Manual,Petrol,2,1,Silver,8.5,5.5,"9,000",1331847,1120083,15.9
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,1,Red,7,3.8,"48,000",585070,287950,50.8
MazdaTitan1.4Crdi,Mazda,Titan,1.4Crdi,Sedan,Manual,diesel,11,1,Silver,6.1,8.8,"23,540",1081271,690000,36.2
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,6,1,Grey,4.6,4,"80,564",514112,403200,21.6
MazdaRX10Triton1.1,Mazda,RX10,Triton1.1,Hatchback,Manual,Petrol,7,1,Red,9.9,6.2,"31,000",530124,269742,49.1
NissanMaximaIVtecCvtVx,Nissan,Maxima,IVtecCvtVx,Hatchback,Automatic,Petrol,4,1,White,8.5,5.8,"25,000",1514307,873584,42.3
MazdaRX20G5 1.4 CRDI,Mazda,RX20,G5 1.4 CRDI,Hatchback,Manual,Diesel,7,1,Other,4.3,5.1,"57,000",894411,352182,60.6
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,10,1,Red,4.5,4.2,"58,000",507718,242550,52.2
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,9,1,Silver,6.8,9.9,"48,075",1464334,329152,77.5
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,11,2,Silver,5,8.8,"63,000",828687,154000,81.4
MitsubishiSx4ZxiLeather,Mitsubishi,Sx4,ZxiLeather,Sedan,Manual,Petrol,11,3,Silver,6.4,4.8,"75,000",698267,193600,72.3
FordMustang1.8e,Ford,Mustang,1.8e,Sedan,Manual,Petrol,12,2,Silver,4.9,9.9,"81,000",1014992,180400,82.2
MitsubishiEclipse 1.0Lxi(o),Mitsubishi,Eclipse 1.0,Lxi(o),Hatchback,Manual,Petrol,2,1,Other,9.3,4.2,"20,150",531852,450000,15.4
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Automatic,diesel,6,1,Golden,5.7,4.4,"61,000",768774,431232,43.9
MitsubishiChallengerLXi BS-IV,Mitsubishi,Challenger,LXi BS-IV,Hatchback,Manual,Petrol,7,2,Blue,8.5,5.9,"33,000",342090,158400,53.7
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,2,1,Brown,3.3,7.5,"90,000",533447,380555,28.7
